,arrest,beat,block,case_number,community_area,date,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year,c_tract
26,True,0725,063XX S ASHLAND AVE,JA100339,67,2017-01-01T07:47:00.000,AGG PRO.EMP:KNIFE/CUTTING INST,007,False,04A,10801508,0557,41.778883826,"{'type': 'Point', 'coordinates': [-87.664206366, 41.778883826]}",CTA BUS,-87.664206366,ASSAULT,2017-02-14T15:49:42.000,16,1166756,1862726,2017,6712001000
27,False,0621,075XX S EMERALD AVE,JA100503,68,2017-01-01T10:50:00.000,DOMESTIC BATTERY SIMPLE,006,True,08B,10801521,0486,41.757023415,"{'type': 'Point', 'coordinates': [-87.642981871, 41.757023415]}",APARTMENT,-87.642981871,BATTERY,2017-02-14T15:49:42.000,17,1172609,1854806,2017,6813003011
28,False,0733,009XX W 71ST ST,JA100617,68,2017-01-01T09:45:00.000,$500 AND UNDER,007,False,06,10801591,0820,41.765143364,"{'type': 'Point', 'coordinates': [-87.648411447, 41.765143364]}",STREET,-87.648411447,THEFT,2017-02-14T15:49:42.000,17,1171104,1857753,2017,6811003012
29,False,0711,006XX W 61ST ST,JA100595,68,2017-01-01T02:00:00.000,SIMPLE,007,False,08A,10801609,0560,41.783449861,"{'type': 'Point', 'coordinates': [-87.640971514, 41.783449861]}",STREET,-87.640971514,ASSAULT,2017-02-14T15:49:42.000,20,1173080,1864440,2017,8348003017
30,False,0723,009XX W 68TH ST,JA100633,68,2017-01-01T02:00:00.000,OVER $500,007,False,06,10801647,0810,41.770612247,"{'type': 'Point', 'coordinates': [-87.647407487, 41.770612247]}",APARTMENT,-87.647407487,THEFT,2017-02-14T15:49:42.000,17,1171362,1859748,2017,6811001004
31,False,0726,065XX S WOOD ST,JA100695,67,2017-01-01T13:30:00.000,TO PROPERTY,007,False,14,10801676,1310,41.775129883,"{'type': 'Point', 'coordinates': [-87.668978317, 41.775129883]}","SCHOOL, PUBLIC, BUILDING",-87.668978317,CRIMINAL DAMAGE,2017-02-14T15:49:42.000,15,1165465,1861348,2017,6712002010
32,False,0726,064XX S HOYNE AVE,JA100627,67,2017-01-01T13:50:00.000,SIMPLE,007,True,08A,10801701,0560,41.777035272,"{'type': 'Point', 'coordinates': [-87.67628373, 41.777035272]}",RESIDENCE,-87.67628373,ASSAULT,2017-02-14T15:49:42.000,15,1163467,1862027,2017,6714001019
33,False,0735,071XX S WOLCOTT AVE,JA100744,67,2017-01-01T15:45:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10801730,0486,41.763950751,"{'type': 'Point', 'coordinates': [-87.671076666, 41.763950751]}",STREET,-87.671076666,BATTERY,2017-02-14T15:49:42.000,17,1164924,1857270,2017,6720002008
34,False,0712,062XX S MAY ST,JA100708,68,2017-01-01T14:45:00.000,AGGRAVATED: HANDGUN,007,True,04A,10801732,051A,41.780655796,"{'type': 'Point', 'coordinates': [-87.653313373, 41.780655796]}",RESIDENCE,-87.653313373,ASSAULT,2017-02-14T15:49:42.000,16,1169722,1863395,2017,6806002021
35,True,0712,057XX S PEORIA ST,JA100729,68,2017-01-01T14:07:00.000,RECKLESS CONDUCT,007,False,24,10801792,0470,41.790121858,"{'type': 'Point', 'coordinates': [-87.647481895, 41.790121858]}",STREET,-87.647481895,PUBLIC PEACE VIOLATION,2017-02-14T15:49:42.000,16,1171285,1866857,2017,8347002009
36,False,0724,063XX S RACINE AVE,JA100850,67,2017-01-01T17:23:00.000,AGGRAVATED,007,False,03,10801803,0330,41.779153403,"{'type': 'Point', 'coordinates': [-87.65449147, 41.779153403]}",SIDEWALK,-87.65449147,ROBBERY,2017-02-14T15:49:42.000,16,1169405,1862845,2017,8349002000
37,False,0711,057XX S LOWE AVE,JA100860,68,2017-01-01T17:45:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10801852,0486,41.79001401,"{'type': 'Point', 'coordinates': [-87.641395921, 41.79001401]}",RESIDENCE,-87.641395921,BATTERY,2017-02-14T15:49:42.000,3,1172945,1866831,2017,8347003018
38,False,0724,067XX S THROOP ST,JA101022,67,2017-01-01T10:00:00.000,FORCIBLE ENTRY,007,False,05,10801956,0610,41.771658175,"{'type': 'Point', 'coordinates': [-87.656722386, 41.771658175]}",RESIDENCE,-87.656722386,BURGLARY,2017-02-14T15:49:42.000,17,1168818,1860109,2017,8349002017
39,True,0712,057XX S GREEN ST,JA101008,68,2017-01-01T21:00:00.000,AGGRAVATED: HANDGUN,007,False,04A,10802022,051A,41.79002675,"{'type': 'Point', 'coordinates': [-87.646261817, 41.79002675]}",APARTMENT,-87.646261817,ASSAULT,2017-02-14T15:49:42.000,16,1171618,1866825,2017,8347001011
40,False,0735,073XX S HOYNE AVE,JA101058,67,2017-01-01T21:30:00.000,SIMPLE,007,False,08B,10802041,0460,41.760687788,"{'type': 'Point', 'coordinates': [-87.675856748, 41.760687788]}",APARTMENT,-87.675856748,BATTERY,2017-02-14T15:49:42.000,17,1163629,1856071,2017,6720004008
41,True,0713,061XX S RACINE AVE,JA101041,67,2017-01-01T22:25:00.000,SIMPLE,007,False,08B,10802053,0460,41.78279012,"{'type': 'Point', 'coordinates': [-87.65458144, 41.78279012]}",STREET,-87.65458144,BATTERY,2017-04-25T15:53:10.000,16,1169370,1864170,2017,6806002018
42,False,0713,057XX S THROOP ST,JA101178,67,2017-01-02T02:45:00.000,AGGRAVATED:KNIFE/CUTTING INSTR,007,False,04B,10802054,0420,41.789924212,"{'type': 'Point', 'coordinates': [-87.657194052, 41.789924212]}",RESIDENCE,-87.657194052,BATTERY,2017-02-14T15:49:42.000,16,1168637,1866764,2017,6701002014
43,False,0713,062XX S JUSTINE ST,JA101144,67,2017-01-02T01:30:00.000,$500 AND UNDER,007,True,06,10802055,0820,41.780614126,"{'type': 'Point', 'coordinates': [-87.66303346, 41.780614126]}",RESIDENCE,-87.66303346,THEFT,2017-02-14T15:49:42.000,16,1167071,1863359,2017,6708002022
44,False,0724,010XX W MARQUETTE RD,JA101026,68,2017-01-01T22:00:00.000,TO VEHICLE,007,True,14,10802077,1320,41.772392903,"{'type': 'Point', 'coordinates': [-87.650104977, 41.772392903]}",VEHICLE NON-COMMERCIAL,-87.650104977,CRIMINAL DAMAGE,2017-02-14T15:49:42.000,17,1170621,1860391,2017,6811004003
45,False,0225,002XX W GARFIELD BLVD,JA101180,68,2017-01-02T02:45:00.000,TO VEHICLE,002,False,14,10802082,1320,41.794199613,"{'type': 'Point', 'coordinates': [-87.630639071, 41.794199613]}",STREET,-87.630639071,CRIMINAL DAMAGE,2017-02-14T15:49:42.000,3,1175866,1868380,2017,8346004002
46,False,0715,058XX S WOOD ST,JA101191,67,2017-01-02T03:29:00.000,AGGRAVATED:KNIFE/CUTTING INSTR,007,False,04B,10802091,0420,41.788304284,"{'type': 'Point', 'coordinates': [-87.669289666, 41.788304284]}",STREET,-87.669289666,BATTERY,2017-02-14T15:49:42.000,15,1165343,1866148,2017,6704001033
47,True,0722,003XX W 64TH ST,JA101184,68,2017-01-02T02:49:00.000,FALSE POLICE REPORT,007,False,24,10802115,2860,41.778099133,"{'type': 'Point', 'coordinates': [-87.633828531, 41.778099133]}",HOSPITAL BUILDING/GROUNDS,-87.633828531,PUBLIC PEACE VIOLATION,2017-02-14T15:49:42.000,20,1175044,1862506,2017,6809002007
48,False,0725,064XX S JUSTINE ST,JA101234,67,2017-01-02T06:03:00.000,UNLAWFUL POSS OF HANDGUN,007,False,15,10802139,143A,41.776678107,"{'type': 'Point', 'coordinates': [-87.662913135, 41.776678107]}",APARTMENT,-87.662913135,WEAPONS VIOLATION,2017-02-14T15:49:42.000,17,1167115,1861925,2017,6711001012
49,True,0735,019XX W 71ST ST,JA101293,67,2017-01-02T09:09:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10802288,0486,41.764827589,"{'type': 'Point', 'coordinates': [-87.671797086, 41.764827589]}",RESIDENTIAL YARD (FRONT/BACK),-87.671797086,BATTERY,2017-02-14T15:49:42.000,17,1164725,1857588,2017,6715002023
50,False,0725,068XX S MARSHFIELD AVE,JA101344,67,2017-01-02T10:15:00.000,SIMPLE,007,False,08B,10802354,0460,41.769528572,"{'type': 'Point', 'coordinates': [-87.665157722, 41.769528572]}",APARTMENT,-87.665157722,BATTERY,2017-02-14T15:49:42.000,17,1166523,1859315,2017,6715003001
51,False,0714,061XX S ASHLAND AVE,JA101525,67,2017-01-02T01:00:00.000,TO LAND,007,False,26,10802355,1330,41.782432685,"{'type': 'Point', 'coordinates': [-87.664290466, 41.782432685]}",GAS STATION,-87.664290466,CRIMINAL TRESPASS,2017-02-14T15:49:42.000,15,1166723,1864019,2017,6708002016
52,False,0733,072XX S MORGAN ST,JA101472,68,2017-01-02T09:00:00.000,TO VEHICLE,007,False,14,10802357,1320,41.76274133,"{'type': 'Point', 'coordinates': [-87.649203059, 41.76274133]}",ALLEY,-87.649203059,CRIMINAL DAMAGE,2017-02-14T15:49:42.000,17,1170895,1856876,2017,6814004009
53,False,0723,009XX W 63RD ST,JA101512,68,2017-01-02T12:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,007,False,11,10802370,1153,41.779704696,"{'type': 'Point', 'coordinates': [-87.647508582, 41.779704696]}",RESIDENCE,-87.647508582,DECEPTIVE PRACTICE,2017-02-14T15:49:42.000,16,1171308,1863061,2017,6810004002
54,False,0711,006XX W 62ND ST,JA101652,68,2017-01-01T00:00:00.000,TO PROPERTY,007,False,14,10802448,1310,41.781626794,"{'type': 'Point', 'coordinates': [-87.641284443, 41.781626794]}",RESIDENCE-GARAGE,-87.641284443,CRIMINAL DAMAGE,2017-02-14T15:49:42.000,16,1173000,1863775,2017,8348002003
55,False,0732,074XX S EMERALD AVE,JA101664,68,2017-01-01T12:00:00.000,CHILD ABUSE,007,False,20,10802464,1750,41.759178037,"{'type': 'Point', 'coordinates': [-87.643039413, 41.759178037]}",APARTMENT,-87.643039413,OFFENSE INVOLVING CHILDREN,2017-02-14T15:49:42.000,17,1172587,1855591,2017,6813003006
56,True,0711,006XX W 63RD ST,JA101751,68,2017-01-02T15:13:00.000,TO LAND,007,False,26,10802517,1330,41.779798546,"{'type': 'Point', 'coordinates': [-87.641648739, 41.779798546]}",SMALL RETAIL STORE,-87.641648739,CRIMINAL TRESPASS,2017-02-14T15:49:42.000,16,1172906,1863108,2017,6809004003
57,False,0713,059XX S RACINE AVE,JA101922,67,2017-01-02T18:25:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10802633,0486,41.785891646,"{'type': 'Point', 'coordinates': [-87.654662395, 41.785891646]}",APARTMENT,-87.654662395,BATTERY,2017-02-14T15:49:42.000,16,1169339,1865300,2017,6709001003
58,False,0725,067XX S ASHLAND AVE,JA101654,67,2017-01-02T14:15:00.000,ARMED: HANDGUN,007,False,03,10802640,031A,41.771736514,"{'type': 'Point', 'coordinates': [-87.66400571, 41.771736514]}",GAS STATION,-87.66400571,ROBBERY,2017-02-14T15:49:42.000,15,1166831,1860122,2017,6716003009
59,False,0733,010XX W 71ST ST,JA101920,68,2017-01-02T18:10:00.000,SIMPLE,007,False,08A,10802749,0560,41.76512058,"{'type': 'Point', 'coordinates': [-87.649654302, 41.76512058]}",GROCERY FOOD STORE,-87.649654302,ASSAULT,2017-02-14T15:49:42.000,17,1170765,1857742,2017,6814004001
60,False,0726,021XX W 64TH ST,JA102115,67,2017-01-02T21:35:00.000,AGGRAVATED: HANDGUN,007,False,04B,10802863,041A,41.777487155,"{'type': 'Point', 'coordinates': [-87.676601745, 41.777487155]}",SIDEWALK,-87.676601745,BATTERY,2017-02-14T15:49:42.000,15,1163379,1862191,2017,6714001010
61,False,0711,061XX S STEWART AVE,JA102169,68,2017-01-02T22:32:00.000,TO PROPERTY,007,False,14,10802892,1310,41.782882068,"{'type': 'Point', 'coordinates': [-87.635122166, 41.782882068]}",RESIDENCE,-87.635122166,CRIMINAL DAMAGE,2017-02-14T15:49:42.000,20,1174677,1864246,2017,8346003023
62,False,0726,020XX W MARQUETTE RD,JA102137,67,2017-01-02T21:48:00.000,AGGRAVATED,007,False,03,10802905,0330,41.772072337,"{'type': 'Point', 'coordinates': [-87.674149491, 41.772072337]}",SIDEWALK,-87.674149491,ROBBERY,2017-02-14T15:49:42.000,15,1164063,1860223,2017,6714002000
63,False,0711,002XX W 63RD ST,JA102247,68,2017-01-02T23:15:00.000,STRONGARM - NO WEAPON,007,False,03,10802910,0320,41.779975054,"{'type': 'Point', 'coordinates': [-87.630937377, 41.779975054]}",CTA TRAIN,-87.630937377,ROBBERY,2017-02-14T15:49:42.000,20,1175827,1863196,2017,6809002002
64,False,0725,063XX S ASHLAND AVE,JA102308,67,2017-01-03T04:00:00.000,ARMED: HANDGUN,007,False,03,10802966,031A,41.779012821,"{'type': 'Point', 'coordinates': [-87.664208692, 41.779012821]}",STREET,-87.664208692,ROBBERY,2017-02-14T15:49:42.000,16,1166755,1862773,2017,6712001000
65,False,0712,060XX S GREEN ST,JA102314,68,2017-01-02T16:30:00.000,OVER $500,007,False,06,10802984,0810,41.784509877,"{'type': 'Point', 'coordinates': [-87.646119056, 41.784509877]}",STREET,-87.646119056,THEFT,2017-02-14T15:49:42.000,16,1171673,1864815,2017,8348001003
66,False,0733,073XX S ABERDEEN ST,JA102459,68,2017-01-03T09:07:00.000,HARASSMENT BY TELEPHONE,007,False,26,10803253,2825,41.760699944,"{'type': 'Point', 'coordinates': [-87.651574183, 41.760699944]}",RESIDENCE,-87.651574183,OTHER OFFENSE,2017-02-14T15:49:42.000,17,1170254,1856127,2017,6814003011
67,False,0735,021XX W 70TH PL,JA102650,67,2017-01-02T19:00:00.000,$500 AND UNDER,007,False,06,10803423,0820,41.76568328,"{'type': 'Point', 'coordinates': [-87.676487542, 41.76568328]}",RESIDENTIAL YARD (FRONT/BACK),-87.676487542,THEFT,2017-02-14T15:49:42.000,17,1163443,1857890,2017,6715002014
68,True,0724,067XX S MAY ST,JA102759,68,2017-01-03T13:40:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10803599,0486,41.77172998,"{'type': 'Point', 'coordinates': [-87.653081391, 41.77172998]}",SIDEWALK,-87.653081391,BATTERY,2017-02-14T15:49:42.000,17,1169811,1860143,2017,6811005008
69,False,0725,063XX S ASHLAND AVE,JA102873,67,2017-01-03T05:55:00.000,TO VEHICLE,007,False,14,10803711,1320,41.778680696,"{'type': 'Point', 'coordinates': [-87.664197479, 41.778680696]}",PARKING LOT/GARAGE(NON.RESID.),-87.664197479,CRIMINAL DAMAGE,2017-02-14T15:49:42.000,16,1166759,1862652,2017,6711001005
70,True,0725,014XX W 65TH ST,JA102837,67,2017-01-03T14:20:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10803731,0486,41.77587863,"{'type': 'Point', 'coordinates': [-87.660883088, 41.77587863]}",STREET,-87.660883088,BATTERY,2017-02-14T15:49:42.000,17,1167671,1861638,2017,6711001025
71,False,0714,060XX S HONORE ST,JA102939,67,2017-01-03T14:57:00.000,AGGRAVATED: HANDGUN,007,True,04A,10803758,051A,41.784284813,"{'type': 'Point', 'coordinates': [-87.670398129, 41.784284813]}",RESIDENCE PORCH/HALLWAY,-87.670398129,ASSAULT,2017-02-14T15:49:42.000,15,1165052,1864681,2017,6706001007
72,False,0711,059XX S PRINCETON AVE,JA102867,68,2017-01-03T15:09:00.000,OTHER VEHICLE OFFENSE,007,False,26,10803769,5002,41.786070334,"{'type': 'Point', 'coordinates': [-87.632770209, 41.786070334]}",STREET,-87.632770209,OTHER OFFENSE,2017-02-14T15:49:42.000,20,1175309,1865413,2017,8346003013
73,False,0713,061XX S ASHLAND AVE,JA102930,67,2017-01-02T20:00:00.000,FROM BUILDING,007,False,06,10803775,0890,41.782119791,"{'type': 'Point', 'coordinates': [-87.664282719, 41.782119791]}",APARTMENT,-87.664282719,THEFT,2017-02-14T15:49:42.000,15,1166726,1863905,2017,6708002016
74,False,0711,055XX S UNION AVE,JA102976,68,2017-01-03T16:00:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10803842,0486,41.79357575,"{'type': 'Point', 'coordinates': [-87.642707123, 41.79357575]}",APARTMENT,-87.642707123,BATTERY,2017-02-14T15:49:42.000,3,1172577,1868126,2017,8347003002
75,False,0735,020XX W 70TH ST,JA103192,67,2017-01-03T18:20:00.000,AUTOMOBILE,007,False,07,10803916,0910,41.766611514,"{'type': 'Point', 'coordinates': [-87.67468559, 41.766611514]}",STREET,-87.67468559,MOTOR VEHICLE THEFT,2017-02-14T15:49:42.000,17,1163932,1858232,2017,6715002009
76,False,0723,063XX S HALSTED ST,JA103125,68,2017-01-03T17:35:00.000,ARMED: HANDGUN,007,False,03,10803955,031A,41.779183375,"{'type': 'Point', 'coordinates': [-87.644771726, 41.779183375]}",DEPARTMENT STORE,-87.644771726,ROBBERY,2017-02-14T15:49:42.000,20,1172056,1862877,2017,6809004006
77,False,0714,060XX S HONORE ST,JA103320,67,2017-01-03T18:30:00.000,TO PROPERTY,007,False,14,10804021,1310,41.784284813,"{'type': 'Point', 'coordinates': [-87.670398129, 41.784284813]}",APARTMENT,-87.670398129,CRIMINAL DAMAGE,2017-02-14T15:49:42.000,15,1165052,1864681,2017,6706001007
78,False,0723,009XX W 64TH ST,JA103295,68,2017-01-03T19:00:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10804023,0486,41.777888265,"{'type': 'Point', 'coordinates': [-87.647557266, 41.777888265]}",STREET,-87.647557266,BATTERY,2017-02-14T15:49:42.000,16,1171300,1862399,2017,6810004016
79,True,0724,066XX S MAY ST,JA103328,68,2017-01-03T19:42:00.000,POSS: COCAINE,007,False,18,10804046,2022,41.77354698,"{'type': 'Point', 'coordinates': [-87.653128181, 41.77354698]}",STREET,-87.653128181,NARCOTICS,2017-02-14T15:49:42.000,17,1169793,1860805,2017,6810001016
80,True,0714,060XX S HONORE ST,JA103055,67,2017-01-03T17:00:00.000,ENDANGERING LIFE/HEALTH CHILD,007,False,20,10804062,1710,41.784284813,"{'type': 'Point', 'coordinates': [-87.670398129, 41.784284813]}",RESIDENCE,-87.670398129,OFFENSE INVOLVING CHILDREN,2017-02-14T15:49:42.000,15,1165052,1864681,2017,6706001007
81,True,0714,060XX S HONORE ST,JA103057,67,2017-01-03T16:50:00.000,SIMPLE,007,False,08A,10804064,0560,41.784284813,"{'type': 'Point', 'coordinates': [-87.670398129, 41.784284813]}",RESIDENCE PORCH/HALLWAY,-87.670398129,ASSAULT,2017-02-14T15:49:42.000,15,1165052,1864681,2017,6706001007
